player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Austin Ekeler,receptions,2.5,UNDER,0.2043650793650793,0.3492063492063492,1.8438298152900483,-159.0,124.0,0.6146099384300161,1.0,GB
James Conner,rushing_yards,68.5,UNDER,0.2041318248893262,0.2631578947368421,19.905381667302695,-110.0,-114.0,0.5515919721207541,1.0,SF
Kyler Murray,rushing_yards,30.5,UNDER,0.2041318248893262,0.2631578947368421,20.201465917104997,-111.0,-114.0,0.5650775713200249,0.9484444444444444,TEN
Chuba Hubbard,rushing_yards,61.5,UNDER,0.2041318248893262,0.2631578947368421,17.57963090257756,-110.0,-114.0,0.557749422681278,1.020138888888889,NO
Travis Homer,rushing_yards,13.5,UNDER,0.2041318248893262,0.2631578947368421,0.0,-110.0,-114.0,0.5773890218015517,1.0,CIN
Hassan Haskins,rushing_yards,44.5,UNDER,0.2041318248893262,0.2631578947368421,3.913642608630573,-110.0,-114.0,0.5430555065709367,0.9428571428571428,IND
Tyrone Tracy Jr.,rushing_yards,54.5,UNDER,0.2041318248893262,0.2631578947368421,22.742431829021623,-110.0,-114.0,0.5641780787809372,1.4830188679245282,CHI
Quinshon Judkins,rushing_yards,93.5,UNDER,0.2041318248893262,0.2631578947368421,26.97288557765565,-110.0,-114.0,0.5589797466095646,0.8275,NYJ
Elijah Moore,receptions,1.5,UNDER,0.2035926760085206,0.3224736747023798,0.5043308387484026,-142.0,111.0,0.6030164475483671,1.0,MIA
Tyler Warren,receptions,4.5,UNDER,0.2028852962001416,0.3486842105263157,2.997931863511762,-157.0,123.0,0.58363293168537,1.1176470588235294,ATL
Alvin Kamara,receptions,3.5,UNDER,0.2028852962001416,0.3486842105263157,1.2829888883026666,-157.0,123.0,0.5949030588735689,0.8526315789473684,CAR
Tyrone Tracy Jr.,rushing_yards,59.5,UNDER,0.2019583843329254,0.2631578947368421,22.742431829021623,-109.0,-115.0,0.5641780787809372,1.4830188679245282,CHI
Dylan Sampson,rushing_yards,32.5,UNDER,0.2019583843329254,0.2631578947368421,1.6794452624657368,-109.0,-115.0,0.5589797466095646,0.7097142857142857,NYJ
Tyrone Tracy Jr.,rushing_yards,53.5,UNDER,0.2019583843329254,0.2631578947368421,22.742431829021623,-109.0,-115.0,0.5641780787809372,1.4830188679245282,CHI
Nick Chubb,rushing_yards,53.5,UNDER,0.2019583843329254,0.2631578947368421,22.32743029179857,-110.0,-115.0,0.5434703735585166,1.015085714285714,JAX
Nick Chubb,rushing_yards,52.5,UNDER,0.2016281130406144,0.2723055362484851,22.32743029179857,-113.0,-111.0,0.5434703735585166,1.015085714285714,JAX
Stefon Diggs,receptions,3.5,UNDER,0.201058201058201,0.4285714285714285,2.5695421301312247,-220.0,170.0,0.5921422426154287,0.9448275862068966,NYJ
Alvin Kamara,receptions,4.5,UNDER,0.2006230529595016,0.2666666666666666,1.2829888883026666,-112.0,-114.0,0.5949030588735689,0.8526315789473684,CAR
Tony Pollard,rushing_yards,69.5,UNDER,0.2005014512732024,0.2646148277965651,23.62800510805524,-110.0,-115.0,0.5480334454981136,0.992193308550186,LAC
Tee Higgins,receptions,3.5,UNDER,0.2003432003432003,0.3492063492063492,2.236013878112149,-156.0,122.0,0.6083156041376274,1.1333333333333333,CHI
Kyler Murray,rushing_yards,28.5,UNDER,0.1998050682261208,0.2631578947368421,20.201465917104997,-109.0,-116.0,0.5650775713200249,0.9484444444444444,TEN
Jake Browning,rushing_yards,8.5,UNDER,0.1998050682261208,0.2631578947368421,3.9424258784314694,-108.0,-116.0,0.5432965428919628,2.4285714285714284,DET
Kendre Miller,receptions,0.5,OVER,0.1991584852734922,0.5217391304347826,0.5175520177060037,210.0,-280.0,0.6083156041376274,0.9555555555555556,CHI
Greg Dortch,receptions,1.5,UNDER,0.1990659212160707,0.3604054444226959,0.7347975821743509,-162.0,127.0,0.6184121638755616,0.8133333333333334,SEA
Isaiah Bond,receiving_yards,7.5,OVER,0.1985516473022441,0.7131147540983607,13.94132396949374,-106.0,-118.0,0.6027460653432899,1.038,NE
Kyle Monangai,receptions,2.5,UNDER,0.1984496124031008,0.2666666666666666,0.9338484418676708,-111.0,-115.0,0.6141132296697468,1.0,NYG
DeMario Douglas,receptions,3.5,UNDER,0.1984234896853774,0.2326109930732432,1.5056999426094595,103.0,-132.0,0.5921422426154287,1.0363636363636364,NYJ
JuJu Smith-Schuster,receptions,2.5,UNDER,0.1983049630108453,0.3492063492063492,1.678643744788373,-154.0,121.0,0.5861643342578282,1.0615384615384615,BUF
Dontayvion Wicks,receiving_yards,39.5,UNDER,0.1982190279241965,0.275714621364903,13.2106208110475,-113.0,-111.0,0.6003885696588209,1.4466666666666668,PHI
Malik Washington,receptions,4.5,UNDER,0.1972791744737368,0.1829489624083924,1.8153878753174244,127.0,-163.0,0.5861643342578282,0.8666666666666667,BUF
Mike Gesicki,receptions,2.5,UNDER,0.1967703349282297,0.3486842105263157,1.33448086946567,-153.0,120.0,0.5977715114568858,1.6,DET
Jerry Jeudy,receptions,4.5,UNDER,0.1962962962962963,0.2666666666666666,1.4301731502369557,-110.0,-116.0,0.5921422426154287,1.176,NYJ
Andrei Iosivas,receiving_yards,14.5,OVER,0.1962065415379742,0.7131147540983607,28.323808954344525,-107.0,-117.0,0.6133869630707344,1.8385185185185184,CHI
JuJu Smith-Schuster,receiving_yards,14.5,OVER,0.1962065415379742,0.7131147540983607,20.539246699987928,-107.0,-117.0,0.5849011991735937,0.9981481481481482,BUF
