player,market,line,direction,odds,model_prob,dk_prob,edge,ev,kelly,matchup,commence_time
D'Andre Swift,player_reception_yds,11.5,OVER,-110,0.63,0.496,0.134,0.202,0.0555,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Lamar Jackson,player_pass_yds,233.5,UNDER,-111,0.624,0.498,0.126,0.186,0.0516,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Jameson Williams,player_reception_yds,52.5,UNDER,-111,0.624,0.498,0.126,0.186,0.0517,Green Bay Packers @ Detroit Lions,2025-11-27T18:00:00Z
Jared Goff,player_rush_yds,0.5,OVER,135,0.503,0.403,0.1,0.182,0.0337,Green Bay Packers @ Detroit Lions,2025-11-27T18:00:00Z
Travis Kelce,player_receptions,5.5,OVER,-104,0.602,0.481,0.12,0.18,0.0469,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Saquon Barkley,player_receptions,2.5,UNDER,105,0.575,0.461,0.114,0.179,0.0425,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Zay Flowers,player_receptions,5.5,UNDER,-146,0.699,0.561,0.138,0.177,0.0646,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
George Pickens,player_receptions,5.5,OVER,110,0.56,0.449,0.11,0.175,0.0399,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Zay Flowers,player_reception_yds,66.5,UNDER,-114,0.623,0.504,0.119,0.17,0.0484,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Drake Maye,player_pass_yds,243.5,UNDER,-111,0.614,0.498,0.116,0.167,0.0465,New York Giants @ New England Patriots,2025-12-02T01:15:00Z
Keaton Mitchell,player_rush_yds,17.5,UNDER,-107,0.601,0.488,0.113,0.163,0.0437,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Jalen Hurts,player_pass_yds,214.5,UNDER,-112,0.612,0.499,0.113,0.158,0.0443,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
D'Andre Swift,player_receptions,1.5,OVER,-151,0.695,0.567,0.127,0.155,0.0583,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Rico Dowdle,player_reception_yds,20.5,OVER,-120,0.623,0.51,0.113,0.142,0.0427,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Derrick Henry,player_rush_yds,88.5,UNDER,-112,0.602,0.5,0.102,0.139,0.039,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
