week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit,result
6,G.Smith,QB,player_pass_yds,Under 249.5,249.5,0.5960737126448155,235.2,0.5238095238095238,0.0722641888352916,174,UNDER,UNDER,True,True,0.909,unknown
4,Q.Johnston,WR,player_reception_yds,Under 84.5,84.5,0.5958725061680253,79.66666666666667,0.5238095238095238,0.0720629823585015,98,OVER,UNDER,False,False,-1.0,unknown
8,A.Rodgers,QB,player_pass_yds,Under 224.5,224.5,0.5958112472018395,211.66666666666663,0.5238095238095238,0.0720017233923157,219,UNDER,UNDER,True,True,0.909,unknown
6,R.Flournoy,WR,player_reception_yds,Under 39.5,39.5,0.5954590996741944,37.25,0.5238095238095238,0.0716495758646705,30,UNDER,UNDER,True,True,0.909,unknown
6,J.Meyers,WR,player_reception_yds,Over 54.5,54.5,0.5953694266524097,58.0,0.5238095238095238,0.0715599028428858,39,UNDER,OVER,False,False,-1.0,unknown
5,R.Dowdle,RB,player_rush_yds,Over 19.5,19.5,0.5952084348070104,20.75,0.5238095238095238,0.0713989109974865,206,OVER,OVER,True,True,0.909,unknown
7,K.Vidal,RB,player_rush_yds,Over 44.5,44.5,0.5946164813874487,47.333333333333336,0.5238095238095238,0.0708069575779248,20,UNDER,OVER,False,False,-1.0,unknown
4,O.Hampton,RB,player_rush_yds,Over 44.5,44.5,0.5946164813874487,47.333333333333336,0.5238095238095238,0.0708069575779248,128,OVER,OVER,True,True,0.909,unknown
8,J.Chase,WR,player_reception_yds,Over 84.5,84.5,0.5942431706392234,89.85714285714286,0.5238095238095238,0.0704336468296995,91,OVER,OVER,True,True,0.909,unknown
3,C.Ridley,WR,player_reception_yds,Over 39.5,39.5,0.5940963859982835,42.0,0.5238095238095238,0.0702868621887596,27,UNDER,OVER,False,False,-1.0,unknown
8,R.Rice,WR,player_reception_yds,Over 39.5,39.5,0.5940963859982835,42.0,0.5238095238095238,0.0702868621887596,93,OVER,OVER,True,True,0.909,unknown
7,R.Odunze,WR,player_reception_yds,Under 69.5,69.5,0.5939837824710195,65.6,0.5238095238095238,0.0701742586614956,31,UNDER,UNDER,True,True,0.909,unknown
