week,player,stat_type,line,pred_mean,actual,bet_side,model_prob,edge,won
7,Jaxson Dart,passing_yards,176.5,158.40952271010488,283,under,0.5908133878083236,0.06029695588344097,False
7,Wan'Dale Robinson,receiving_yards,44.5,81.52833681538435,95,over,0.7750736635832607,0.25126413977373685,True
7,Troy Franklin,receiving_yards,32.5,44.491327644155824,19,over,0.6471088984498491,0.12104254773894862,False
7,Theo Johnson,receiving_yards,27.5,44.6096297745672,66,over,0.7052952758025646,0.18148575199304073,True
7,Evan Engram,receiving_yards,25.5,49.946997326375104,42,over,0.7674979872223517,0.23478770684852002,True
7,Marvin Mims Jr.,receiving_yards,22.5,34.939881276888066,85,over,0.6781040452485103,0.1432203243182778,True
7,Cam Skattebo,receiving_yards,22.5,0.0,34,under,1.0,0.4651162790697675,False
7,RJ Harvey,receiving_yards,15.5,0.0,2,under,1.0,0.4629629629629629,True
7,J.K. Dobbins,receiving_yards,6.5,0.0,-1,under,1.0,0.4545454545454546,True
7,Courtland Sutton,receptions,4.5,3.3558199999999996,6,under,0.7158652868307285,0.2396748106402523,False
7,Cam Skattebo,receptions,2.5,0.0,3,under,1.0,0.5475113122171946,False
7,RJ Harvey,receptions,2.5,0.0,1,under,1.0,0.4273504273504274,True
7,J.K. Dobbins,receptions,1.5,0.0,1,under,1.0,0.39682539682539686,True
7,J.K. Dobbins,rushing_yards,63.5,84.98347560753425,81,over,0.6616358586608514,0.13333397186839857,True
7,Cam Skattebo,rushing_yards,52.5,87.21681934572997,60,over,0.7431414745067917,0.21043119413295996,True
7,RJ Harvey,rushing_yards,18.5,77.457317896629,0,over,0.8927043853826294,0.3578206644523969,False
7,Justin Herbert,passing_yards,254.5,149.9799999307757,420,under,0.9196227507579453,0.3913208639654925,False
7,Daniel Jones,passing_yards,224.5,165.23410126459086,288,under,0.7652384439341967,0.2369365571417439,False
7,Ladd McConkey,receiving_yards,60.5,70.81904180777977,67,over,0.5977986058999905,0.06728217397510783,True
7,Quentin Johnston,receiving_yards,58.5,67.70105864727314,30,over,0.5913394749949652,0.06082304307008257,False
7,Tyler Warren,receiving_yards,58.5,67.73009425450522,69,over,0.5907639106531782,0.06024747872829561,True
7,Keenan Allen,receiving_yards,46.5,55.313298682628876,119,over,0.6069897700275235,0.07210604909729101,True
7,Oronde Gadsden II,receiving_yards,28.5,40.74550581884847,164,over,0.6637350544173746,0.13321862249249194,True
7,Jonathan Taylor,receiving_yards,18.5,0.0,38,under,1.0,0.4672897196261683,False
7,Kimani Vidal,receiving_yards,14.5,0.0,15,under,1.0,0.45871559633027525,False
7,Jonathan Taylor,receptions,2.5,0.0,3,under,1.0,0.5614035087719298,False
7,Kimani Vidal,receptions,2.5,0.0,4,under,1.0,0.4807692307692307,False
7,Kimani Vidal,rushing_yards,51.5,69.57956433869218,20,over,0.6655094617734484,0.13720757498099556,False
7,Jordan Love,passing_yards,239.5,159.67632513836037,179,under,0.8426928484944004,0.3121764165695178,True
7,Jacoby Brissett,passing_yards,214.5,161.17993328221644,279,under,0.7467902354776604,0.2184883486852076,False
7,Trey McBride,receiving_yards,61.5,77.38616362724304,74,over,0.6407619102619951,0.10587818933176263,True
7,Romeo Doubs,receiving_yards,51.5,81.52833681538435,72,over,0.7299980994562976,0.19728781908246584,True
7,Marvin Harrison Jr.,receiving_yards,51.5,39.98670091752894,58,under,0.6584912346641836,0.12797480273930095,False
7,Tucker Kraft,receiving_yards,47.5,32.7964961673946,58,under,0.7197469610316873,0.19144507423923451,False
7,Michael Carter,receiving_yards,16.5,0.0,25,under,1.0,0.4672897196261683,False
7,Trey McBride,receptions,6.5,5.5482,10,under,0.6392943198772931,0.14424481492679808,False
7,Romeo Doubs,receptions,4.5,4.582435,6,over,0.5140335391771083,0.055317942846833,True
7,Marvin Harrison Jr.,receptions,3.5,2.970175,2,under,0.6107864374816719,0.1582977496988665,True
7,Tucker Kraft,receptions,3.5,2.59196,5,under,0.6900405172993122,0.1974296798608885,False
7,Michael Carter,receptions,2.5,0.0,2,under,1.0,0.4807692307692307,True
7,Michael Carter,rushing_yards,29.5,78.30751566493453,11,over,0.8487227104677015,0.3204208236752487,False
7,Dak Prescott,passing_yards,271.5,164.96131330270268,264,under,0.9036450932445632,0.3731286613196806,True
7,Jayden Daniels,passing_yards,225.5,168.89003689054547,156,under,0.7508123670032145,0.22474601629231405,True
