player,stat_type,line,over_odds,under_odds,actual_value,went_over,pred_mean_raw,pred_mean,defense_multiplier,home_away_multiplier,game_script_multiplier,target_share_multiplier,target_share,catch_rate_multiplier,catch_rate,cpoe_multiplier,cpoe,yac_multiplier,yac_pct,is_home,opponent_team,pred_std,prob_over_raw,week,position,prob_over_calibrated,market_prob_over,market_prob_under,edge_over,edge_under
Jerome Ford,receiving_yards,10.5,-118.0,-107.0,0,0,7.909036276382528,6.075177299246418,0.9609017971802838,0.9372972972972972,0.95,0.9,0.0877563585485931,0.95,0.84,1.0,,1.05,1.4342105263157894,False,NYJ,9.273618495495704,0.3166308950283626,10,RB,0.3508529444198527,0.5412844036697247,0.5169082125603864,-0.190431459249872,0.1322388430197608
Jerome Ford,receptions,1.5,-118.0,-108.0,0,0,2.293498141344054,1.824759312866517,0.9540870793437022,1.0266666666666666,0.95,0.9,0.0877563585485931,0.95,0.84,1.0,,1.0,,False,NYJ,1.7677669529663689,0.5728801497287258,10,RB,0.48,0.5412844036697247,0.5192307692307693,-0.0612844036697247,0.0007692307692307
Jerome Ford,receptions,2.5,102.0,-130.0,0,0,2.293498141344054,1.824759312866517,0.9540870793437022,1.0266666666666666,0.95,0.9,0.0877563585485931,0.95,0.84,1.0,,1.0,,False,NYJ,1.7677669529663689,0.3512403936109453,10,RB,0.3291139240506329,0.495049504950495,0.5652173913043478,-0.1659355808998621,0.1056686846450193
Jerome Ford,rushing_yards,13.5,-118.0,-106.0,1,0,6.1102313123900105,7.485930663792496,1.0643483754124512,1.1907692307692308,0.9666666666666668,1.0,,1.0,,1.0,,1.0,,False,NYJ,11.78906878668298,0.3049768764292905,10,RB,0.375,0.5412844036697247,0.5145631067961165,-0.1662844036697247,0.1104368932038835
Jerry Jeudy,receiving_yards,34.5,-112.0,-112.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.3085290924981152,10,WR,0.3322288496140045,0.5283018867924528,0.5283018867924528,-0.1960730371784483,0.1394692635935427
Jerry Jeudy,receiving_yards,40.5,-111.0,-113.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.2228707974222736,10,WR,0.3125,0.5260663507109005,0.5305164319248826,-0.2135663507109004,0.1569835680751173
Jerry Jeudy,receiving_yards,43.5,-110.0,-114.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.1857175554703519,10,WR,0.3125,0.5238095238095238,0.5327102803738317,-0.2113095238095238,0.1547897196261682
Jerry Jeudy,receiving_yards,44.5,-110.0,-114.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.1742404257068996,10,WR,0.3125,0.5238095238095238,0.5327102803738317,-0.2113095238095238,0.1547897196261682
Jerry Jeudy,receiving_yards,49.5,-111.0,-113.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.1237796380448466,10,WR,0.3125,0.5260663507109005,0.5305164319248826,-0.2135663507109004,0.1569835680751173
Jerry Jeudy,receiving_yards,50.5,-114.0,-110.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.1150600336701269,10,WR,0.2929658509670676,0.5327102803738317,0.5238095238095238,-0.2397444294067641,0.1832246252234085
Jerry Jeudy,receiving_yards,55.5,-110.0,-114.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.0779775526220784,10,WR,0.1866658003555792,0.5238095238095238,0.5327102803738317,-0.3371437234539446,0.280623919270589
Jerry Jeudy,receiving_yards,63.5,-111.0,-113.0,78,1,21.002190970857544,23.07129876808334,0.9609017971802838,1.212173913043478,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,0.95,0.2140077821011673,False,NYJ,22.85630578824396,0.0384619209314832,10,WR,0.1611996470771308,0.5260663507109005,0.5305164319248826,-0.3648667036337696,0.3082839209979865
Jerry Jeudy,receptions,4.5,-110.0,-116.0,6,1,2.0537863094893254,2.287654774272035,0.9540870793437022,1.176,0.95,1.1,0.186974927397049,0.95,0.4074074074074074,1.0,,1.0,,False,NYJ,1.8322507626258089,0.1136300706288149,10,WR,0.2631578947368421,0.5238095238095238,0.5370370370370371,-0.2606516290726817,0.1998050682261208
Joe Burrow,passing_yards,268.5,-113.0,-111.0,76,0,113.0,122.18598202527794,1.0704949712811775,1.0,1.03,1.0,,1.0,,0.980665922164917,-1.9334077835083008,1.0,,True,JAX,67.20229011390288,0.014732162779951,2,QB,0.0219699689325815,0.5305164319248826,0.5260663507109005,-0.5085464629923011,0.451963680356518
Joe Burrow,passing_yards,272.5,-112.0,-112.0,76,0,113.0,122.18598202527794,1.0704949712811775,1.0,1.03,1.0,,1.0,,0.980665922164917,-1.9334077835083008,1.0,,True,JAX,67.20229011390288,0.0126516847990694,2,QB,0.0167074160674134,0.5283018867924528,0.5283018867924528,-0.5115944707250394,0.4549906971401337
Joe Burrow,rushing_yards,9.5,-116.0,-108.0,0,0,3.0,2.7393179473123954,0.8952019435661422,1.0,1.02,1.0,,1.0,,1.0,,1.0,,True,JAX,1.5066248710218175,0.01,2,QB,0.2727272727272727,0.5370370370370371,0.5192307692307693,-0.2643097643097644,0.208041958041958
